et,lat,lon,obcflags,batt,curr,txforward2,txcurr,rxcurr,rxdoppler,rxrssi,txreflected,txforward,txtemp,txvoltage,antsA,antsB,localtime,boardtime
PY4ZBZ,-18.012999999999995,-34.595,007D,8.286,0.063,0.060228,0,0.057,384.0,950.0,0.003824,0.003824,-1.935483870967744,8.080645161290322,100,100,2021-03-27 10:28:50,
PY4ZBZ,-17.393,-34.727,007D,8.286,0.067,0.080065,0,0.057,414.0,958.0,0.005975,0.005975,-1.935483870967744,8.112903225806452,100,100,2021-03-27 10:29:00,
PY4ZBZ,-10.578,-36.148,007D,8.296,0.067,0.080065,0,0.057,414.0,941.0,0.003824,0.005975,-1.29032258064516,8.096774193548388,100,100,2021-03-27 10:30:50,
PY4ZBZ,-9.958,-36.275,007D,8.296,0.067,0.080065,0,0.057,414.0,950.0,0.003824,0.005975,-0.967741935483872,8.096774193548388,100,100,2021-03-27 10:31:00,
PY4ZBZ,-8.719,-36.528,007D,8.296,0.067,0.080065,0,0.057,414.0,942.0,0.003824,0.005975,-0.967741935483872,8.048387096774192,100,100,2021-03-27 10:31:20,
PY4ZBZ,-7.479,-36.779,007D,8.286,0.067,0.080065,0,0.057999999999999996,416.0,952.0,0.003824,0.005975,-0.6451612903225836,8.080645161290322,100,100,2021-03-27 10:31:40,
PY4ZBZ,-6.859,-36.904,007D,8.296,0.067,0.080065,0,0.057,394.0,948.0,0.003824,0.005975,-0.32258064516128826,8.112903225806452,100,100,2021-03-27 10:31:50,
COESU,-28.696,-56.11,007D,8.295999526977539,0.0034803026355803013,0.0059750000946223744,0,22.51499938964844,409.000016450882,3.0806450843811035,0.003824000013992191,0.0059750000946223744,-3.548387050628662,8.096774101257324,0x100,0x100,2021-03-27 12:01:40,2020-12-14 07:06:29
COESU,-27.459,-56.404,007D,8.295999526977539,0.003272523172199726,0.0059750000946223744,0,22.51499938964844,407.0000183582306,2.477419376373291,0.003824000013992191,0.0059750000946223744,-3.548387050628662,4.129032135009767,0x100,0x100,2021-03-27 12:02:00,2020-12-14 07:06:44
COESU,-26.84,-56.55,007D,8.28600025177002,0.0034803026355803013,0.0059750000946223744,0,22.51499938964844,408.0000174045563,3.0612902641296387,0.003824000013992191,0.0059750000946223744,-3.225806474685669,8.064516067504883,0x100,0x100,2021-03-27 12:02:10,2020-12-14 07:06:59
COESU,-24.983,-56.981,007D,8.295999526977539,0.003272523172199726,0.0059750000946223744,0,22.51499938964844,411.0000145435333,3.087096691131592,0.003824000013992191,0.0059750000946223744,-2.903225898742676,8.080645561218263,0x100,0x100,2021-03-27 12:02:40,2020-12-14 07:07:29
COESU,-23.745,-57.262,007D,8.295999526977539,0.0034803026355803013,0.0059750000946223744,0,22.51499938964844,412.000013589859,3.0516128540039062,0.003824000013992191,0.0059750000946223744,-2.903225898742676,8.080645561218263,0x100,0x100,2021-03-27 12:03:00,2020-12-14 07:07:44
PV8DX,-1.4409999999999998,-61.92,007D,8.286,0.067,0.005975,0,0.057999999999999996,411.0,954.0,0.003824,0.005975,0.6451612903225836,8.080645161290322,0100,100.0,2021-03-27 12:09:00,
PV8DX,-0.202,-62.168,007D,8.286,0.067,0.005975,0,0.057,414.0,954.0,0.003824,0.005975,0.6451612903225836,8.064516129032258,0100,100.0,2021-03-27 12:09:20,
PV8DX,0.418,-62.292,007D,8.296,0.067,0.005975,0,0.057999999999999996,413.0,942.0,0.005975,0.005975,0.967741935483872,8.080645161290322,0100,100.0,2021-03-27 12:09:30,
PV8DX,1.658,-62.54,007D,8.296,0.063,0.005975,0,0.057999999999999996,413.0,941.0,0.003824,0.005975,0.967741935483872,8.096774193548388,0100,100.0,2021-03-27 12:09:50,
PV8DX,2.277,-62.664,007D,8.296,0.063,0.005975,0,0.057,412.0,952.0,0.003824,0.005975,1.29032258064516,8.112903225806452,0100,100.0,2021-03-27 12:10:00,
PV8DX,3.517,-62.913,007D,8.286,0.067,0.005975,0,0.057999999999999996,412.0,945.0,0.005975,0.005975,1.29032258064516,8.080645161290322,0100,100.0,2021-03-27 12:10:20,
PV8DX,5.375,-63.286,007D,8.286,0.067,0.005975,0,0.057,414.0,948.0,0.003824,0.005975,1.29032258064516,8.048387096774192,0100,100.0,2021-03-27 12:10:50,
PV8DX,5.995,-63.411,007D,8.296,0.067,0.005975,0,0.057,412.0,950.0,0.003824,0.005975,1.6129032258064484,8.064516129032258,0100,100.0,2021-03-27 12:11:00,
PV8DX,9.093,-64.038,007D,8.296,0.067,0.005975,0,0.057999999999999996,412.0,957.0,0.003824,0.005975,1.935483870967744,8.112903225806452,0100,100.0,2021-03-27 12:11:50,
PV8DX,10.951,-64.417,007D,8.296,0.067,0.005975,0,0.057999999999999996,412.0,952.0,0.003824,0.005975,2.2580645161290316,8.064516129032258,0100,100.0,2021-03-27 12:12:20,
PV8DX,13.428,-64.929,007D,8.296,0.067,0.005975,0,0.057999999999999996,414.0,949.0,0.005975,0.005975,2.5806451612903203,8.112903225806452,0100,100.0,2021-03-27 12:13:00,
PV8DX,,,323B,11.569,13.1,51301.780439,12347,13.617,11319.0,14000.0,119182.98107899999,42671.787516,3600.6451612903224,213.41935483870967,4E,,2021-03-27 23:55:30,
PV8DX,-1.969,-60.731,007D,8.296,0.067,0.005975,0,0.057,384.0,949.0,0.003824,0.005975,-1.6129032258064484,8.048387096774192,0100,100.0,2021-03-28 12:04:30,
PV8DX,-0.11,-61.103,007D,8.296,0.063,0.005975,0,0.057,412.0,944.0,0.003824,0.005975,-1.29032258064516,8.112903225806452,0100,100.0,2021-03-28 12:05:00,
PV8DX,1.129,-61.351000000000006,007D,8.286,0.067,0.005975,0,0.057,416.0,950.0,0.003824,0.005975,-0.967741935483872,8.096774193548388,0100,100.0,2021-03-28 12:05:20,
PV8DX,1.7480000000000002,-61.475,007D,8.286,0.067,0.005975,0,0.057,412.0,953.0,0.003824,0.005975,-0.967741935483872,8.096774193548388,0100,100.0,2021-03-28 12:05:30,
PV8DX,2.988,-61.723,007D,8.286,0.067,0.005975,0,0.057,413.0,953.0,0.003824,0.005975,-0.967741935483872,8.064516129032258,0100,100.0,2021-03-28 12:05:50,
PV8DX,4.846,-62.096,007D,8.286,0.067,0.005975,0,0.057,415.0,943.0,0.003824,0.005975,-0.6451612903225836,8.096774193548388,0100,100.0,2021-03-28 12:06:20,
PV8DX,5.466,-62.221,007D,8.296,0.067,0.005975,0,0.057,415.0,949.0,0.0,0.005975,-0.6451612903225836,8.096774193548388,0100,100.0,2021-03-28 12:06:30,
PV8DX,6.705,-62.47,007D,8.286,0.067,0.005975,0,0.057,415.0,950.0,0.003824,0.005975,-0.32258064516128826,8.096774193548388,0100,100.0,2021-03-28 12:06:50,
PV8DX,7.324,-62.596,007D,8.286,0.067,0.005975,0,0.057,412.0,937.0,0.003824,0.005975,-0.32258064516128826,8.080645161290322,0100,100.0,2021-03-28 12:07:00,
PY4ZBZ,-25.862,-30.682,007D,8.286,0.063,0.075285,0,0.057,412.0,946.0,0.003824,0.005975,-2.5806451612903203,8.064516129032258,100,100,2021-03-29 10:18:00,
PY4ZBZ,-21.531,-31.661,007D,8.286,0.067,0.080065,0,0.057,412.0,951.0,0.003824,0.005975,-50.0,8.080645161290322,100,100,2021-03-29 10:19:10,
PY4ZBZ,-17.817,-32.469,007D,8.296,0.067,0.080065,0,0.057,414.0,940.0,0.003824,0.005975,-0.967741935483872,8.096774193548388,100,100,2021-03-29 10:20:10,
PY4ZBZ,-14.72,-33.124,007D,8.296,0.067,0.080065,0,0.057,413.0,949.0,0.003824,0.005975,-0.6451612903225836,8.096774193548388,100,100,2021-03-29 10:21:00,
PY4ZBZ,-11.004,-33.893,007D,8.296,0.067,0.080065,0,0.057,412.0,947.0,0.003824,0.005975,0.0,8.096774193548388,100,100,2021-03-29 10:22:00,
PY4ZBZ,-9.146,-34.273,007D,8.286,0.067,0.080065,0,0.057,413.0,949.0,0.003824,0.005975,0.6451612903225836,8.096774193548388,100,100,2021-03-29 10:22:30,
PY4ZBZ,-22.927,-55.278,007D,8.286,0.063,0.075285,0,0.057,407.0,949.0,0.003824,0.005975,-3.5483870967741917,8.048387096774192,100,100,2021-03-29 11:54:30,
PV8DX,-0.632,-59.915,007D,8.296,0.067,0.005975,0,0.057,412.0,942.0,0.003824,0.005975,-0.6451612903225836,8.112903225806452,0100,100.0,2021-03-29 12:00:30,
PV8DX,-0.012,-60.039,007D,8.286,0.067,0.005975,0,0.057,413.0,956.0,0.003824,0.005975,-0.32258064516128826,8.03225806451613,0100,100.0,2021-03-29 12:00:40,
PV8DX,1.227,-60.286,007D,8.296,0.067,0.005975,0,0.057,412.0,948.0,0.003824,0.005975,-0.32258064516128826,8.096774193548388,0100,100.0,2021-03-29 12:01:00,
PV8DX,-1.829,-59.869,007D,8.186,0.063,0.005975,0,0.057999999999999996,413.0,938.0,0.003824,0.005975,4.838709677419351,8.0,0100,100.0,2021-03-29 23:59:00,
PV8DX,-1.146,-58.727,007D,8.296,0.067,0.005975,0,0.057,417.0,943.0,0.003824,0.005975,1.29032258064516,8.096774193548388,0100,100.0,2021-03-30 11:56:00,
PV8DX,1.332,-59.223,007D,8.286,0.067,0.005975,0,0.057999999999999996,415.0,937.0,0.005975,0.005975,1.6129032258064484,8.080645161290322,0100,100.0,2021-03-30 11:56:40,
PV8DX,2.57,-59.471,007D,8.286,0.063,0.005975,0,0.057,414.0,945.0,0.003824,0.005975,1.6129032258064484,8.064516129032258,0100,100.0,2021-03-30 11:57:00,
PV8DX,3.19,-59.595,007D,8.286,0.067,0.005975,0,0.057,412.0,946.0,0.003824,0.005975,1.935483870967744,8.080645161290322,0100,100.0,2021-03-30 11:57:10,
PV8DX,8.763,-60.719,007D,8.306000000000001,0.067,0.005975,0,0.057,415.0,949.0,0.003824,0.005975,2.5806451612903203,8.112903225806452,0100,100.0,2021-03-30 11:58:40,
PV8DX,10.621,-61.098,007D,8.296,0.067,0.005975,0,0.057999999999999996,415.0,949.0,0.003824,0.005975,2.903225806451616,8.064516129032258,0100,100.0,2021-03-30 11:59:10,
PV8DX,13.716,-61.737,007D,8.286,0.067,0.005975,0,0.057,412.0,950.0,0.005975,0.005975,3.225806451612904,8.064516129032258,0100,100.0,2021-03-30 12:00:00,
PV8DX,14.335,-61.86600000000001,007D,8.296,0.067,0.005975,0,0.057999999999999996,412.0,948.0,0.005975,0.005975,3.5483870967741917,8.096774193548388,0100,100.0,2021-03-30 12:00:10,
PV8DX,2.404,-57.938,007D,8.196,0.063,0.005975,0,0.059000000000000004,413.0,955.0,0.005975,0.005975,5.161290322580649,8.016129032258064,0100,100.0,2021-03-30 23:53:30,
PV8DX,2.404,-57.938,007D,8.196,0.063,0.005975,0,0.059000000000000004,413.0,955.0,0.005975,0.005975,5.161290322580649,8.016129032258064,0100,100.0,2021-03-30 23:53:30,
PY4ZBZ,-22.544,-29.266,007D,8.286,0.067,20.49664,0,0.055999999999999994,406.0,954.0,0.003824,0.005975,-4.516129032258063,8.064516129032258,100,100,2021-03-31 10:10:10,
PY4ZBZ,-21.925,-29.404,007D,8.286,0.067,20.49664,0,0.057,407.0,946.0,0.003824,0.005975,-4.193548387096777,8.112903225806452,100,100,2021-03-31 10:10:20,
PY4ZBZ,-13.261,-31.258000000000006,007D,8.286,0.067,20.49664,0,0.057,410.0,941.0,0.003824,0.005975,-3.225806451612904,8.064516129032258,100,100,2021-03-31 10:12:40,
PY4ZBZ,-17.472,-29.287,007D,8.296,0.067,0.080065,0,0.057,413.0,953.0,0.003824,0.005975,-2.5806451612903203,8.096774193548388,100,100,2021-04-01 10:07:10,
PV8DX,0.943,-56.975,007D,8.296,0.067,0.005975,0,0.057,415.0,958.0,0.003824,0.005975,0.32258064516128826,8.080645161290322,0100,100.0,2021-04-01 11:47:50,
PV8DX,1.5630000000000002,-57.099,007D,8.286,0.067,0.005975,0,0.057,417.0,958.0,0.003824,0.005975,0.32258064516128826,8.096774193548388,0100,100.0,2021-04-01 11:48:00,
PY4ZBZ,,,007D,8.286,0.067,0.080065,0,0.057,394.0,953.0,0.003824,0.005975,-5.483870967741937,8.064516129032258,100,100,2021-04-05 14:20:10,
PY4ZBZ,,,007D,8.296,0.067,0.080065,0,0.055999999999999994,401.0,950.0,0.003824,0.005975,-5.161290322580649,8.03225806451613,100,100,2021-04-05 14:21:20,
PY4ZBZ,,,007D,8.296,0.063,0.075285,0,0.055999999999999994,403.0,955.0,0.003824,0.005975,-5.161290322580649,8.096774193548388,100,100,2021-04-05 14:21:20,
PY4ZBZ,,,007D,8.286,0.067,0.080065,0,0.057999999999999996,399.0,954.0,0.003824,0.005975,-4.838709677419351,8.048387096774192,100,100,2021-04-05 14:21:40,
PY4ZBZ,,,007D,8.286,0.067,0.080065,0,0.057999999999999996,399.0,954.0,0.003824,0.005975,-4.838709677419351,8.048387096774192,100,100,2021-04-05 14:21:50,
PY4ZBZ,,,007D,8.296,0.063,0.075285,0,0.057,405.0,948.0,0.003824,0.005975,-4.516129032258063,8.064516129032258,100,100,2021-04-05 14:22:10,
PY4ZBZ,,,007D,8.286,0.067,0.080065,0,0.057,406.0,957.0,0.003824,0.005975,-4.193548387096777,8.096774193548388,100,100,2021-04-05 14:22:20,
PY4ZBZ,,,007D,8.286,0.063,0.075285,0,0.057,405.0,953.0,0.003824,0.005975,-3.87096774193548,8.080645161290322,100,100,2021-04-05 14:22:30,
PY4ZBZ,,,007D,8.296,0.063,0.075285,0,0.057,405.0,955.0,0.003824,0.005975,-3.5483870967741917,8.080645161290322,100,100,2021-04-05 14:22:50,
